"","uppercase","lowercase"
"1","ALABAMA","alabama"
"2","ALASKA","alaska"
"3","ARIZONA","arizona"
"4","ARKANSAS","arkansas"
"5","CALIFORNIA","california"
"6","COLORADO","colorado"
"7","CONNECTICUT","connecticut"
"8","DELAWARE","delaware"
"9","FLORIDA","florida"
"10","GEORGIA","georgia"
"11","HAWAII","hawaii"
"12","IDAHO","idaho"
"13","ILLINOIS","illinois"
"14","INDIANA","indiana"
"15","IOWA","iowa"
"16","KANSAS","kansas"
"17","KENTUCKY","kentucky"
"18","LOUISIANA","louisiana"
"19","MAINE","maine"
"20","MARYLAND","maryland"
"21","MASSACHUSETTS","massachusetts"
"22","MICHIGAN","michigan"
"23","MINNESOTA","minnesota"
"24","MISSISSIPPI","mississippi"
"25","MISSOURI","missouri"
"26","MONTANA","montana"
"27","NEBRASKA","nebraska"
"28","NEVADA","nevada"
"29","NEW HAMPSHIRE","new hampshire"
"30","NEW JERSEY","new jersey"
"31","NEW MEXICO","new mexico"
"32","NEW YORK","new york"
"33","NORTH CAROLINA","north carolina"
"34","NORTH DAKOTA","north dakota"
"35","OHIO","ohio"
"36","OKLAHOMA","oklahoma"
"37","OREGON","oregon"
"38","PENNSYLVANIA","pennsylvania"
"39","RHODE ISLAND","rhode island"
"40","SOUTH CAROLINA","south carolina"
"41","SOUTH DAKOTA","south dakota"
"42","TENNESSEE","tennessee"
"43","TEXAS","texas"
"44","UTAH","utah"
"45","VERMONT","vermont"
"46","VIRGINIA","virginia"
"47","WASHINGTON","washington"
"48","WEST VIRGINIA","west virginia"
"49","WISCONSIN","wisconsin"
"50","WYOMING","wyoming"
